message_id,channel_name,image_path,detection_count,detected_classes,image_category,confidence_score,has_person,has_product,processed_at
22129,lobelia_cosmetics,data\raw\images\lobelia_cosmetics\22129.jpg,1,bottle,product_display,0.7326324582099915,False,True,2026-01-20T21:03:20.957195
22130,lobelia_cosmetics,data\raw\images\lobelia_cosmetics\22130.jpg,2,"bottle, book",product_display,0.2869125008583069,False,True,2026-01-20T21:03:21.425284
22131,lobelia_cosmetics,data\raw\images\lobelia_cosmetics\22131.jpg,3,"bottle, person",promotional,0.5082254409790039,True,True,2026-01-20T21:03:21.729761
22132,lobelia_cosmetics,data\raw\images\lobelia_cosmetics\22132.jpg,0,none,other,0.0,False,False,2026-01-20T21:03:22.060245
22133,lobelia_cosmetics,data\raw\images\lobelia_cosmetics\22133.jpg,2,"person, refrigerator",lifestyle,0.7616232633590698,True,False,2026-01-20T21:03:22.329462
22134,lobelia_cosmetics,data\raw\images\lobelia_cosmetics\22134.jpg,2,"person, book",lifestyle,0.38788892328739166,True,False,2026-01-20T21:03:22.583542
22135,lobelia_cosmetics,data\raw\images\lobelia_cosmetics\22135.jpg,1,refrigerator,other,0.38142117857933044,False,False,2026-01-20T21:03:22.876853
22136,lobelia_cosmetics,data\raw\images\lobelia_cosmetics\22136.jpg,0,none,other,0.0,False,False,2026-01-20T21:03:23.163745
22137,lobelia_cosmetics,data\raw\images\lobelia_cosmetics\22137.jpg,1,cell phone,other,0.31958022713661194,False,False,2026-01-20T21:03:23.421545
22138,lobelia_cosmetics,data\raw\images\lobelia_cosmetics\22138.jpg,1,clock,other,0.36091986298561096,False,False,2026-01-20T21:03:23.673936
22139,lobelia_cosmetics,data\raw\images\lobelia_cosmetics\22139.jpg,1,bottle,product_display,0.7326324582099915,False,True,2026-01-20T21:03:23.970479
22140,lobelia_cosmetics,data\raw\images\lobelia_cosmetics\22140.jpg,2,"bottle, book",product_display,0.2869125008583069,False,True,2026-01-20T21:03:24.230927
22141,lobelia_cosmetics,data\raw\images\lobelia_cosmetics\22141.jpg,3,"bottle, person",promotional,0.5082254409790039,True,True,2026-01-20T21:03:24.474019
22142,lobelia_cosmetics,data\raw\images\lobelia_cosmetics\22142.jpg,0,none,other,0.0,False,False,2026-01-20T21:03:24.687781
